"Sensor 2 Average (x, y, z)"
"[0.015719999999999998, -0.06101999999999999, -0.197714]"
"[0.01581, -0.055409999999999994, -0.2053612]"
"[0.014594999999999997, -0.044849999999999994, -0.2117742]"
"[0.014204999999999999, -0.038939999999999995, -0.2142184]"
"[0.016649999999999998, -0.030974999999999996, -0.2222044]"
"[0.023114999999999997, -0.060074999999999996, -0.19524560000000002]"
"[0.022680000000000006, -0.05137499999999999, -0.20279600000000003]"
"[0.022514999999999997, -0.045315, -0.2094026]"
"[0.023579999999999997, -0.03816, -0.21363759999999996]"
"[0.023489999999999997, -0.029789999999999997, -0.21760639999999998]"
"[0.030315, -0.060735, -0.19437439999999997]"
"[0.031889999999999995, -0.053715, -0.1999646]"
"[0.032235, -0.04724999999999999, -0.2041996]"
"[0.03156, -0.03842999999999999, -0.21044319999999997]"
"[0.033870000000000004, -0.030929999999999996, -0.2146782]"
"[0.037469999999999996, -0.058935, -0.18965539999999997]"
"[0.037469999999999996, -0.05120999999999999, -0.1936]"
"[0.038084999999999994, -0.04517999999999999, -0.20303799999999997]"
"[0.040154999999999996, -0.03769499999999999, -0.206184]"
"[0.040575, -0.030494999999999994, -0.21097559999999996]"
"[0.04610999999999999, -0.058844999999999995, -0.18154839999999997]"
"[0.04551, -0.053219999999999996, -0.19120420000000002]"
"[0.048389999999999996, -0.04539, -0.1970606]"
"[0.048045, -0.03804, -0.20083579999999998]"
"[0.04752, -0.031409999999999993, -0.202675]"
