"Sensor 15 Average (x, y, z)"
"[-0.068175, -0.6090450000000001, 0.7031794]"
"[-0.07293, -0.6099, 0.8002940000000001]"
"[-0.080625, -0.5969099999999999, 0.9017645999999999]"
"[-0.08382, -0.5738099999999999, 1.0053889999999999]"
"[-0.090885, -0.53688, 1.1040039999999998]"
"[-0.09284999999999999, -0.483765, 1.2035627999999998]"
"[-0.010155000000000004, -0.6102599999999999, 0.7100763999999999]"
"[-0.010049999999999996, -0.60864, 0.8069248]"
"[-0.007634999999999996, -0.5982150000000002, 0.9086131999999999]"
"[-0.009750000000000009, -0.5754150000000001, 1.011318]"
"[-0.008175000000000002, -0.535995, 1.1115543999999997]"
"[-0.006105000000000006, -0.48439499999999996, 1.2119360000000001]"
"[0.049305, -0.6062400000000001, 0.704099]"
"[0.053385000000000016, -0.606, 0.7999067999999999]"
"[0.06031500000000001, -0.5937449999999999, 0.9014741999999998]"
"[0.06648, -0.5710950000000001, 1.0033561999999998]"
"[0.07409999999999999, -0.5326049999999999, 1.1050445999999998]"
"[0.08238, -0.48123, 1.2033207999999997]"
"[0.103035, -0.59556, 0.6931847999999999]"
"[0.115575, -0.595365, 0.7860643999999999]"
"[0.128865, -0.5835750000000001, 0.8839534]"
"[0.140895, -0.5602950000000001, 0.9822537999999998]"
"[0.15542999999999996, -0.522615, 1.0797314]"
"[0.16659000000000002, -0.47274000000000005, 1.1753698000000001]"
"[0.158115, -0.579615, 0.6709449999999999]"
"[0.17369999999999997, -0.5795250000000001, 0.7630985999999998]"
"[0.192795, -0.5683050000000001, 0.8554457999999998]"
"[0.21156000000000003, -0.5450250000000001, 0.9515682]"
"[0.2289, -0.50844, 1.0436734]"
"[0.24828000000000006, -0.45710999999999996, 1.1367466]"
"[0.20666999999999996, -0.559605, 0.6424616]"
"[0.22785, -0.5572650000000001, 0.7264356000000001]"
"[0.25005, -0.546315, 0.8157094]"
"[0.2733750000000001, -0.524085, 0.9099683999999998]"
"[0.297615, -0.488985, 0.9965318]"
"[0.31844999999999996, -0.43911, 1.0835307999999997]"
