"Sensor 5 Average (x, y, z)"
"[0.07005, 0.005219999999999999, -0.16214]"
"[0.06744, -0.0022499999999999985, -0.1653344]"
"[0.069765, -0.01005, -0.16460840000000002]"
"[0.069795, -0.016935, -0.1640034]"
"[0.06849000000000001, -0.024524999999999998, -0.1624546]"
"[0.06672, -0.030479999999999997, -0.1603734]"
"[0.064815, 0.006765000000000004, -0.1708036]"
"[0.06415499999999999, 0.0006000000000000033, -0.17140859999999997]"
"[0.064215, -0.009419999999999998, -0.17087619999999998]"
"[0.06384, -0.015239999999999998, -0.170247]"
"[0.06239999999999998, -0.020655, -0.16930320000000001]"
"[0.062444999999999994, -0.029399999999999996, -0.1631322]"
"[0.059355, 0.007035, -0.173998]"
"[0.05734499999999999, -0.001799999999999996, -0.17610340000000002]"
"[0.05793, -0.008955, -0.17622440000000003]"
"[0.057479999999999996, -0.015359999999999999, -0.17714400000000002]"
"[0.059669999999999994, -0.02241, -0.17310260000000002]"
"[0.05654999999999999, -0.029894999999999998, -0.16947260000000003]"
"[0.05175, 0.008324999999999999, -0.18382320000000002]"
"[0.05271, -0.00020999999999999838, -0.1832182]"
"[0.053325000000000004, -0.006809999999999998, -0.18193559999999998]"
"[0.052815, -0.014204999999999999, -0.1823712]"
"[0.05210999999999999, -0.023039999999999998, -0.17624859999999998]"
"[0.052680000000000005, -0.029534999999999995, -0.17453039999999997]"
"[0.046049999999999994, 0.006885000000000002, -0.18554140000000002]"
"[0.047654999999999996, -0.00022499999999999604, -0.1874532]"
"[0.04601999999999999, -0.006179999999999998, -0.1888568]"
"[0.045794999999999995, -0.015509999999999998, -0.1863158]"
"[0.045885, -0.021615, -0.187308]"
"[0.044715, -0.0315, -0.18065299999999998]"
"[0.039135, 0.009239999999999998, -0.1899216]"
"[0.0384, 0.00012000000000000205, -0.19105899999999998]"
"[0.036825, -0.007364999999999998, -0.1892198]"
"[0.040365, -0.01611, -0.19122840000000005]"
"[0.03798, -0.022425, -0.1883486]"
"[0.037665, -0.0306, -0.1867272]"
