"Sensor 3 Average (x, y, z)"
"[0.10668000000000004, -1.0668, -2.2828586]"
"[0.09242999999999997, -1.2222149999999998, -1.8464357999999996]"
"[0.07618499999999999, -1.2579150000000001, -1.4159661999999997]"
"[0.060435, -1.207665, -1.0356148]"
"[0.05005499999999999, -1.1045699999999998, -0.7265566]"
"[0.04070999999999998, -0.97692, -0.4890578000000001]"
"[-0.26967, -1.050525, -2.2505516]"
"[-0.22813499999999998, -1.2006450000000002, -1.8173474]"
"[-0.184425, -1.2381900000000001, -1.3930003999999996]"
"[-0.146445, -1.1898, -1.0204414]"
"[-0.11499000000000001, -1.0883550000000002, -0.7145534000000001]"
"[-0.08709, -0.963075, -0.4793294]"
"[-0.60612, -0.9771, -2.0768197999999995]"
"[-0.5144849999999999, -1.12416, -1.6818757999999998]"
"[-0.42335999999999996, -1.1642249999999998, -1.2937562]"
"[-0.33801, -1.1258700000000004, -0.9516408]"
"[-0.2646, -1.0340399999999998, -0.6676538000000001]"
"[-0.20281500000000002, -0.9193650000000001, -0.4474338]"
"[-0.856965, -0.869265, -1.8047149999999996]"
"[-0.73239, -1.0066049999999997, -1.4683108]"
"[-0.6082199999999999, -1.0520850000000002, -1.1368917999999997]"
"[-0.490275, -1.022295, -0.8380217999999999]"
"[-0.387435, -0.95043, -0.5913996]"
"[-0.30086999999999997, -0.8511, -0.39736400000000005]"
"[-1.0099799999999999, -0.7383599999999999, -1.4829033999999999]"
"[-0.8686799999999999, -0.8658449999999999, -1.2168970000000001]"
"[-0.72858, -0.9136499999999999, -0.9485432000000001]"
"[-0.593415, -0.901125, -0.7033488]"
"[-0.474765, -0.8462099999999998, -0.4954224]"
"[-0.3726149999999999, -0.7644599999999999, -0.3332824]"
"[-1.06401, -0.608775, -1.1588411999999997]"
"[-0.928305, -0.7216649999999999, -0.9566986]"
"[-0.78606, -0.772605, -0.7476832]"
"[-0.645435, -0.768255, -0.5593104]"
"[-0.5238449999999999, -0.730395, -0.393855]"
"[-0.418365, -0.6710550000000001, -0.26283619999999996]"
