"Sensor 7 Average (x, y, z)"
"[0.11031000000000002, 0.717675, -2.9010718]"
"[0.11473500000000003, 0.27979499999999996, -3.1269546000000004]"
"[0.11352000000000001, -0.21391499999999997, -3.1454433999999996]"
"[0.10436999999999999, -0.6769499999999999, -2.9541908000000006]"
"[0.09091500000000002, -1.04124, -2.5987412]"
"[0.074325, -1.2677400000000003, -2.1515978]"
"[-0.334365, 0.714345, -2.8487272]"
"[-0.35622, 0.27700499999999995, -3.0692133999999998]"
"[-0.3629549999999999, -0.205125, -3.0830074]"
"[-0.351465, -0.6596399999999999, -2.8957478000000005]"
"[-0.322005, -1.018755, -2.5451382000000007]"
"[-0.28123499999999996, -1.24344, -2.1084492]"
"[-0.7310700000000001, 0.6728099999999999, -2.6136968]"
"[-0.776685, 0.26607, -2.8099104000000006]"
"[-0.7852349999999999, -0.18222000000000002, -2.8248902]"
"[-0.7551299999999999, -0.607935, -2.654280200000001]"
"[-0.6907349999999999, -0.9447899999999999, -2.3383976]"
"[-0.602745, -1.1602650000000003, -1.9410820000000002]"
"[-1.01874, 0.6075149999999999, -2.2542542000000005]"
"[-1.08237, 0.24334499999999995, -2.4187174000000002]"
"[-1.09074, -0.155925, -2.428833]"
"[-1.049115, -0.5325599999999999, -2.288231]"
"[-0.96039, -0.8358299999999999, -2.0217406]"
"[-0.8414849999999998, -1.03392, -1.6852154]"
"[-1.1852399999999998, 0.52146, -1.8354974]"
"[-1.250865, 0.21316499999999997, -1.9590383999999996]"
"[-1.26348, -0.12335999999999998, -1.9719128]"
"[-1.2172649999999998, -0.44717999999999997, -1.8616334000000003]"
"[-1.1193899999999999, -0.707715, -1.6493026000000002]"
"[-0.985455, -0.8844, -1.3839012000000002]"
"[-1.2354150000000002, 0.4358999999999999, -1.4207819999999998]"
"[-1.301835, 0.181005, -1.5141214]"
"[-1.31106, -0.09401999999999999, -1.5198083999999998]"
"[-1.26531, -0.35846999999999996, -1.4361490000000001]"
"[-1.16976, -0.5782649999999999, -1.2787038]"
"[-1.0410300000000001, -0.731265, -1.0801427999999997]"
