values,,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z
Sensor,Sample,,,
0,0,0.044411800710001226,0.07602521728485738,-0.0016342269555637164
0,1,0.044411800710001226,0.07602521728485738,-0.0016342269555637164
0,2,0.04435059370792019,0.07597625168319255,-0.0013037091443261109
0,3,0.0443628351083364,0.07594564818215203,-0.0017199167584771697
0,4,0.0443628351083364,0.07594564818215203,-0.0017199167584771697
0,5,0.04447912841229036,0.07614151058881136,-0.001046639735585751
0,6,0.04439343860937691,0.07575590647570082,-0.0017076753580609623
0,7,0.04439343860937691,0.07575590647570082,-0.0017076753580609623
0,8,0.04450973191333089,0.07596401028277636,-0.001554657852858367
0,9,0.04433223160729587,0.07587219977965479,-0.0011812951401640349
0,10,0.04433223160729587,0.07587219977965479,-0.0011812951401640349
0,11,0.04439343860937691,0.07603133798506549,-0.0014506059493206024
0,12,0.044430162810625534,0.07606194148610601,-0.0019218998653445954
0,13,0.044430162810625534,0.07606194148610601,-0.0019218998653445954
0,14,0.04430774880646346,0.07600685518423309,-0.0013281919451585261
0,15,0.04411800710001224,0.07600685518423309,-0.0016158648549394051
0,16,0.04411800710001224,0.07600685518423309,-0.0016158648549394051
0,17,0.044515852613538985,0.07602521728485738,-0.00107724323662627
0,18,0.04457705961562003,0.07601297588444118,-0.0011200881380829968
0,19,0.04457705961562003,0.07601297588444118,-0.0011200881380829968
0,20,0.04449136981270657,0.07594564818215203,-0.0012425021422450729
0,21,0.04466274941853348,0.07578650997674133,-0.0012669849430774881
0,22,0.04440568000979312,0.07570694087403598,-0.0012853470437017996
0,23,0.04440568000979312,0.07570694087403598,-0.0012853470437017996
0,24,0.044424042110417436,0.07600073448402497,-0.0015791406536907822
0,25,0.04411188639980414,0.07593340678173584,-0.0015730199534826784
0,26,0.04411188639980414,0.07593340678173584,-0.0015730199534826784
0,27,0.04430774880646346,0.07578650997674133,-0.0013159505447423185
0,28,0.04454645611457951,0.07611090708777084,-0.0012914677439099032
0,29,0.04454645611457951,0.07611090708777084,-0.0012914677439099032
0,30,0.044442404211041744,0.07598849308360876,-0.001842330762639246
0,31,0.04423430040396621,0.07570082017382788,-0.00133431264536663
0,32,0.04423430040396621,0.07570082017382788,-0.00133431264536663
0,33,0.04425266250459052,0.07590892398090342,-0.0015607785530664707
0,34,0.04457705961562003,0.07591504468111152,-0.00120577794099645
0,35,0.04457705961562003,0.07591504468111152,-0.00120577794099645
0,36,0.044424042110417436,0.07582323417798996,-0.0010527604357938548
0,37,0.04454645611457951,0.07627616599338964,-0.001236381442036969
0,38,0.04454645611457951,0.07627616599338964,-0.001236381442036969
0,39,0.04443628351083364,0.07597625168319255,-0.001744399559309585
0,40,0.04435671440812829,0.07601909658464928,-0.0013526747459909412
0,41,0.04435671440812829,0.07601909658464928,-0.0013526747459909412
