X,Y,Z,MagneticField_X,MagneticField_Y,MagneticField_Z
-5,-10,0,0.014016901456726648,0.012181029501775003,0.030627091565675113
-5,-10,1,0.013438311666054595,0.010971211898641205,0.029983193903782596
-5,-10,2,0.01335623307626392,0.010117557840616968,0.028491212021055208
-5,-10,3,0.012664043089729467,0.009418145427836944,0.027342540213000366
-5,-10,4,0.012026633370057535,0.00862949320602277,0.02566761060105276
-5,-10,5,0.01154468943567144,0.008014791284122904,0.02431034532990574
-5,-9,0,0.013957653078712204,0.012107275064267353,0.030360902313624677
-5,-9,1,0.01362927751254743,0.010780613294160852,0.030220493450850774
-5,-9,2,0.013330281307381564,0.010105622475211164,0.028554561268209086
-5,-9,3,0.012618688701187417,0.009424204921042968,0.0271203587954462
-5,-9,4,0.011997560044069037,0.008652384624801078,0.025854230750397847
-5,-9,5,0.01155007565185457,0.008079303464316318,0.024367941118864
-5,-8,0,0.013971118619170032,0.012244195127922634,0.030490844779042722
-5,-8,1,0.013654372383400656,0.010772962418900722,0.03041427481943934
-5,-8,2,0.013339952013710368,0.010189904517076753,0.028618338964377522
-5,-8,3,0.012651985310319497,0.009514730077120823,0.02719325633492472
-5,-8,4,0.012034712694332227,0.008648283755661648,0.025615645856285958
-5,-8,5,0.011566785163422695,0.008093442281797038,0.02444402142245073
-5,-7,0,0.013990888480842206,0.012117863875627372,0.030437839515240546
-5,-7,1,0.013623401640347657,0.01077461500795691,0.030187258048720772
-5,-7,2,0.013326364059248377,0.010186415717958135,0.028434167095115682
-5,-7,3,0.012642987881013583,0.009439200636552821,0.027148636430407637
-5,-7,4,0.012079332598849309,0.008650976863753213,0.02556808801566899
-5,-7,5,0.011512494552576816,0.00798810503121557,0.024277048720773655
-5,-6,0,0.013889590892398086,0.012190577794099645,0.030694602888970496
-5,-6,1,0.013628236993512052,0.010765066715632269,0.030088102705349493
-5,-6,2,0.013375207246909049,0.010102500918105032,0.02851955086301873
-5,-6,3,0.012662818949687848,0.009388031582813074,0.027112646713183988
-5,-6,4,0.012008454890439467,0.00858181295140164,0.02586335059370792
-5,-6,5,0.011545546333700571,0.008040314603990698,0.024472360264414246
-5,-5,0,0.013926009058636307,0.012163707920186069,0.030580819072101847
-5,-5,1,0.01364439564206145,0.010807421961072348,0.030027385359285105
-5,-5,2,0.013319508875015304,0.010131635451095605,0.028484662871832538
-5,-5,3,0.012579944668870122,0.009198718325376424,0.027510737054719056
-5,-5,4,0.012023083363936836,0.008633594075162197,0.02584553935610234
-5,-5,5,0.011544444607663115,0.00803939649895948,0.024438573999265516
-5,-4,0,0.013916950422328316,0.01218904761904762,0.03058951046639736
-5,-4,1,0.013588330028155217,0.010793099522585383,0.030057009548292324
-5,-4,2,0.013311613171746846,0.01007997674133921,0.028673670094258787
-5,-4,3,0.012652352552331984,0.00942799975517199,0.02721192447055943
-5,-4,4,0.011991378136858855,0.008581935365405802,0.02563290623087281
-5,-4,5,0.011535630799363449,0.008044293059125964,0.024398911861917005
-5,-3,0,0.013874778797894484,0.012208327824703146,0.030881223038315586
-5,-3,1,0.013705235402129999,0.010810788346186803,0.030318057412167955
-5,-3,2,0.013227575957889579,0.010150609621740726,0.028480562002693104
-5,-3,3,0.012577496388786878,0.009362814297955687,0.02722367621495899
-5,-3,4,0.011980422083486347,0.008673378626514874,0.02583617468478394
-5,-3,5,0.01157878173583058,0.008074957767168564,0.024292228057289755
-5,-2,0,0.014032080793242745,0.012299097808789326,0.030734020198310688
-5,-2,1,0.013875758109927777,0.011043068919084343,0.0301794235524544
