values,,Magnetometer,Magnetometer,Magnetometer,position,position,position
axis,,x,y,z,x,y,z
Sensor,Sample,,,,,,
0,0,-0.07215081405312768,-0.04555637164891664,-0.0804015179336516,0.0,0.0,0.0
0,1,-0.07215081405312768,-0.04555637164891664,-0.0804015179336516,0.0,0.0,0.0
0,2,-0.07216917615375198,-0.045280940139551966,-0.08032806953115437,0.0,0.0,0.0
0,3,-0.0721752968539601,-0.04528706083976007,-0.08018117272615988,0.0,0.0,0.0
0,4,-0.0721752968539601,-0.04528706083976007,-0.08018117272615988,0.0,0.0,0.0
0,5,-0.07237727996082752,-0.045280940139551966,-0.08011996572407884,0.0,0.0,0.0
0,6,-0.07230383155833028,-0.04519525033663851,-0.0803770351328192,0.0,0.0,0.0
0,7,-0.07230383155833028,-0.04519525033663851,-0.0803770351328192,0.0,0.0,0.0
0,8,-0.07229771085812217,-0.04521973313747092,-0.08036479373240299,0.0,0.0,0.0
0,9,-0.07232219365895458,-0.04521973313747092,-0.08022401762761659,0.0,0.0,0.0
0,10,-0.07232219365895458,-0.04521973313747092,-0.08022401762761659,0.0,0.0,0.0
0,11,-0.07230995225853838,-0.045311543640592485,-0.08031582813073815,0.0,0.0,0.0
0,12,-0.07209572775125475,-0.04526257803892765,-0.08030358673032195,0.0,0.0,0.0
0,13,-0.07241400416207613,-0.045409474843922146,-0.0803770351328192,0.0,0.0,0.0
0,14,-0.07241400416207613,-0.045409474843922146,-0.0803770351328192,0.0,0.0,0.0
0,15,-0.07260374586852736,-0.04534826784184111,-0.08005263802178969,0.0,0.0,0.0
0,16,-0.0722059003550006,-0.04558697514995715,-0.08030358673032195,0.0,0.0,0.0
0,17,-0.0722059003550006,-0.04558697514995715,-0.08030358673032195,0.0,0.0,0.0
0,18,-0.0723405557595789,-0.045311543640592485,-0.08042600073448403,0.0,0.0,0.0
0,19,-0.07228546945770596,-0.04521973313747092,-0.08008936222303832,0.0,0.0,0.0
0,20,-0.07228546945770596,-0.04521973313747092,-0.08008936222303832,0.0,0.0,0.0
0,21,-0.07222426245562492,-0.04557473374954095,-0.08005875872199779,0.0,0.0,0.0
0,22,-0.07227934875749786,-0.045538009548292326,-0.08027910392948953,0.0,0.0,0.0
0,23,-0.07227934875749786,-0.045538009548292326,-0.08027910392948953,0.0,0.0,0.0
0,24,-0.07205900355000612,-0.045654302852246295,-0.08043824213490022,0.0,0.0,0.0
0,25,-0.07226710735708165,-0.04507895703268454,-0.08022401762761659,0.0,0.0,0.0
0,26,-0.07226710735708165,-0.04507895703268454,-0.08022401762761659,0.0,0.0,0.0
0,27,-0.07227322805728975,-0.04496878442893867,-0.08050556983718937,0.0,0.0,0.0
0,28,-0.07239564206145183,-0.045342147141633,-0.08032806953115437,0.0,0.0,0.0
0,29,-0.07239564206145183,-0.045342147141633,-0.08032806953115437,0.0,0.0,0.0
0,30,-0.07216305545354389,-0.04546456114579508,-0.08022401762761659,0.0,0.0,0.0
0,31,-0.07232831435916269,-0.04550740604725181,-0.08027298322928142,0.0,0.0,0.0
0,32,-0.07232831435916269,-0.04550740604725181,-0.08027298322928142,0.0,0.0,0.0
0,33,-0.07216917615375198,-0.04542171624433835,-0.08043824213490022,0.0,0.0,0.0
0,34,-0.07214469335291958,-0.045158526135389884,-0.08000367242012486,0.0,0.0,0.0
0,35,-0.07212021055208716,-0.04526257803892765,-0.08017505202595177,0.0,0.0,0.0
0,36,-0.07212021055208716,-0.04526257803892765,-0.08017505202595177,0.0,0.0,0.0
0,37,-0.07239564206145183,-0.04532378504100869,-0.08022401762761659,0.0,0.0,0.0
0,38,-0.07211408985187906,-0.045299302240176274,-0.08012608642428694,0.0,0.0,0.0
0,39,-0.07211408985187906,-0.045299302240176274,-0.08012608642428694,0.0,0.0,0.0
0,40,-0.07226098665687355,-0.045384992043089725,-0.08034031093157057,0.0,0.0,0.0
0,41,-0.07207124495042233,-0.045440078344962664,-0.08030970743053005,0.0,0.0,0.0
0,42,-0.07207124495042233,-0.045440078344962664,-0.08030970743053005,0.0,0.0,0.0
0,43,-0.0721936589545844,-0.045256457338719545,-0.08043824213490022,0.0,0.0,0.0
0,44,-0.07216917615375198,-0.04512180193414127,-0.08029134532990574,0.0,0.0,0.0
0,45,-0.07216917615375198,-0.04512180193414127,-0.08029134532990574,0.0,0.0,0.0
0,46,-0.07232831435916269,-0.045384992043089725,-0.0802056555269923,0.0,0.0,0.0
0,47,-0.0721936589545844,-0.0451768882360142,-0.08048108703635695,0.0,0.0,0.0
0,48,-0.0721936589545844,-0.0451768882360142,-0.08048108703635695,0.0,0.0,0.0
0,49,-0.07228546945770596,-0.04572775125474354,-0.08007712082262211,0.0,0.0,0.0
0,50,-0.0721814175541682,-0.04540335414371404,-0.08051781123760558,0.0,0.0,0.0
0,51,-0.07224262455624923,-0.045354388542049213,-0.0803770351328192,0.0,0.0,0.0
0,52,-0.07221814175541683,-0.045409474843922146,-0.08025462112865712,0.0,0.0,0.0
0,53,-0.07230383155833028,-0.04524421593830334,-0.08032806953115437,0.0,0.0,0.0
0,54,-0.07227934875749786,-0.04547068184600318,-0.08029746603011384,0.0,0.0,0.0
0,55,-0.07204676214958991,-0.04531766434080059,-0.08017505202595177,0.0,0.0,0.0
0,56,-0.07227934875749786,-0.04523809523809524,-0.08032194883094626,0.0,0.0,0.0
0,57,-0.07227934875749786,-0.04523809523809524,-0.08032194883094626,0.0,0.0,0.0
0,58,-0.0723405557595789,-0.04550740604725181,-0.08015668992532746,0.0,0.0,0.0
0,59,-0.07221814175541683,-0.04523197453788713,-0.08012608642428694,0.0,0.0,0.0
0,60,-0.07198555514750887,-0.04545844044558697,-0.08045048353531645,0.0,0.0,0.0
0,61,-0.07239564206145183,-0.04583792385848941,-0.08041988003427593,0.0,0.0,0.0
0,62,-0.07212021055208716,-0.04537275064267352,-0.08031582813073815,0.0,0.0,0.0
0,63,-0.07225486595666544,-0.04553188884808422,-0.08043212143469212,0.0,0.0,0.0
