  156,      99.78,      234.16,      139.72
  157,      99.77,      234.16,      139.74
  158,      99.78,      234.15,      139.69
  159,      99.77,      234.15,      139.67
  160,      99.77,      234.15,      139.70
  161,      99.78,      234.16,      139.74
  162,      99.78,      234.15,      139.68
  163,      99.77,      234.15,      139.71
  164,      99.76,      234.17,      139.72
  165,      99.77,      234.15,      139.70
  166,      99.77,      234.16,      139.71
  167,      99.77,      234.16,      139.74
  168,      99.79,      234.16,      139.71
  169,      99.78,      234.16,      139.67
  170,      99.77,      234.15,      139.68
  171,        NaN,         NaN,         NaN
  172,        NaN,         NaN,         NaN
  173,      99.82,      234.22,      139.69
  174,      99.82,      234.23,      139.70
  175,      99.82,      234.25,      139.68
  176,      99.82,      234.25,      139.70
  177,      99.81,      234.23,      139.66
  178,      99.80,      234.25,      139.69
  179,      99.81,      234.23,      139.69
  180,      99.83,      234.21,      139.65
  181,      99.82,      234.23,      139.65
  182,      99.81,      234.22,      139.66
  183,      99.81,      234.21,      139.69
  184,     100.11,      234.19,      139.77
  185,     102.12,      233.89,      139.92
  186,     102.55,      233.84,      139.83
  187,     101.72,      233.98,      139.89
  188,     100.18,      234.24,      139.78
  189,     100.16,      234.24,      139.77
  190,     100.16,      234.25,      139.78
  191,     100.16,      234.25,      139.77
  192,     100.15,      234.25,      139.80
  193,     100.15,      234.25,      139.83
  194,     100.14,      234.26,      139.79
  195,     100.15,      234.28,      139.81
  196,     100.14,      234.25,      139.81
  197,     100.15,      234.26,      139.80
  198,     100.15,      234.25,      139.78
  199,     100.14,      234.27,      139.83
  200,     100.14,      234.26,      139.82
  201,     100.16,      234.24,      139.81
  202,     100.17,      234.24,      139.83
  203,     100.15,      234.25,      139.82
  204,     100.15,      234.26,      139.78
  205,     100.14,      234.26,      139.79
  206,     100.14,      234.25,      139.82
  207,     100.15,      234.25,      139.80
  208,     100.13,      234.25,      139.78
  209,     100.17,      234.25,      139.80
  210,     102.12,      233.95,      139.83
  211,     102.77,      233.84,      139.74
  212,     102.81,      233.83,      139.73
  213,     102.76,      233.84,      139.74
  214,     102.78,      233.85,      139.77
  215,     102.77,      233.83,      139.77
  216,     102.74,      233.82,      139.77
  217,     102.74,      233.81,      139.76
  218,     102.72,      233.81,      139.77
  219,     102.72,      233.84,      139.79
  220,     102.71,      233.83,      139.81
  221,     102.70,      233.83,      139.79
  222,     102.68,      233.82,      139.80
  223,     102.59,      233.84,      139.84
  224,     102.54,      233.83,      139.76
  225,     102.53,      233.84,      139.79
  226,     102.23,      233.90,      139.87
  227,     100.67,      234.19,      139.80
  228,     100.32,      234.23,      139.86
  229,     100.29,      234.26,      139.88
  230,     100.27,      234.25,      139.84
  231,     100.27,      234.25,      139.85
  232,     100.17,      234.21,      139.80
  233,     100.12,      234.23,      139.82
  234,      99.49,      234.14,      139.81
  235,      98.99,      234.13,      139.86
  236,      99.00,      234.09,      139.88
  237,      98.97,      234.09,      139.89
  238,      98.73,      234.13,      139.92
  239,      98.59,      234.11,      139.91
  240,      98.57,      234.11,      139.88
  241,      98.65,      234.10,      139.91
  242,      98.70,      234.11,      139.88
  243,      98.70,      234.12,      139.90
  244,      98.74,      234.08,      139.89
  245,      98.74,      234.13,      139.90
  246,      98.76,      234.12,      139.93
  247,      98.77,      234.09,      139.89
  248,      98.77,      234.12,      139.94
  249,      98.79,      234.11,      139.90
  250,      98.80,      234.12,      139.93
  251,      98.79,      234.11,      139.88
  252,      98.81,      234.10,      139.89
  253,      98.78,      234.12,      139.92
  254,      98.78,      234.16,      139.96
  255,      98.80,      234.11,      139.91
  256,      98.80,      234.14,      139.99
  257,      98.87,      234.12,      139.88
  258,      99.43,      234.17,      139.74
  259,      99.89,      234.26,      139.75
  260,      99.92,      234.24,      139.74
  261,      99.94,      234.25,      139.72
  262,      99.92,      234.26,      139.72
  263,      99.92,      234.25,      139.74
  264,      99.93,      234.23,      139.74
  265,      99.94,      234.25,      139.74
  266,      99.92,      234.26,      139.71
  267,      99.93,      234.25,      139.72
  268,      99.95,      234.26,      139.72
  269,      99.95,      234.26,      139.72
  270,      99.93,      234.25,      139.75
  271,      99.91,      234.26,      139.74
  272,      99.93,      234.26,      139.73
  273,      99.92,      234.25,      139.71
  274,      99.94,      234.27,      139.72
  275,      99.94,      234.26,      139.71
  276,      99.94,      234.26,      139.74
  277,      99.94,      234.27,      139.75
  278,      99.94,      234.25,      139.73
  279,      99.94,      234.25,      139.72
  280,      99.95,      234.26,      139.74
  281,      99.94,      234.26,      139.77
  282,      99.93,      234.24,      139.72
  283,      99.93,      234.26,      139.75
  284,      99.92,      234.26,      139.73
  285,      99.88,      234.26,      139.75
  286,      99.86,      234.26,      139.73
  287,      99.82,      234.25,      139.63
  288,      99.79,      234.26,      139.64
  289,      99.70,      234.33,      139.43
  290,      99.44,      234.52,      139.04
  291,      99.38,      234.56,      138.95
  292,      99.24,      234.58,      138.82
  293,      99.28,      234.60,      138.83
  294,      99.28,      234.58,      138.83
  295,      99.26,      234.56,      138.85
  296,      99.27,      234.56,      138.89
  297,      99.29,      234.57,      138.90
  298,      99.32,      234.56,      138.87
  299,      99.34,      234.56,      138.93
  300,      99.36,      234.53,      138.95
  301,      99.35,      234.53,      138.96
  302,      99.35,      234.54,      138.94
  303,      99.35,      234.55,      138.97
  304,      99.34,      234.53,      138.91
  305,      99.33,      234.55,      138.99
  306,      99.50,      234.46,      139.15
  307,      99.81,      234.36,      139.55
  308,      99.83,      234.34,      139.53
  309,      99.84,      234.34,      139.48
  310,      99.85,      234.33,      139.51
  311,      99.86,      234.35,      139.59
  312,      99.95,      234.35,      139.64
  313,     100.15,      234.36,      139.85
  314,     100.25,      234.35,      139.97
  315,     100.26,      234.37,      140.08
  316,     100.26,      234.36,      140.04
  317,     100.13,      234.36,      139.85
  318,      99.96,      234.34,      139.68
  319,      99.93,      234.32,      139.66
  320,      99.93,      234.35,      139.73
  321,      99.93,      234.36,      139.70
