No.,X,Y,Z,Displacement [mm]
  130,       0.02,       -0.02,       -0.04,       0.05
  131,       0.02,       -0.00,       -0.05,       0.05
  132,       0.01,        0.01,       -0.02,       0.02
  133,       0.00,       -0.01,        0.00,       0.01
  134,       0.01,       -0.01,       -0.02,       0.02
  135,       0.02,       -0.02,       -0.02,       0.03
  136,       0.00,       -0.01,        0.00,       0.01
  137,      -0.01,       -0.02,       -0.03,       0.04
  138,      -0.00,       -0.01,       -0.05,       0.05
  139,       0.00,        0.00,        0.03,       0.03
  140,      -0.01,       -0.01,       -0.01,       0.02
  141,      -0.01,       -0.04,       -0.01,       0.04
  142,       0.00,       -0.02,       -0.00,       0.02
  143,      -0.01,       -0.04,       -0.02,       0.04
  144,       0.01,       -0.02,        0.04,       0.05
  145,       0.01,       -0.00,        0.01,       0.02
  146,       0.00,       -0.00,        0.01,       0.01
  147,      -0.00,       -0.00,       -0.01,       0.01
  148,      -0.00,       -0.02,       -0.05,       0.06
  149,      -0.01,       -0.03,       -0.02,       0.04
  150,       0.01,       -0.00,        0.04,       0.04
  151,      -0.01,       -0.03,       -0.03,       0.04
  152,       0.00,       -0.01,       -0.00,       0.01
  153,       0.01,       -0.01,       -0.00,       0.02
  154,      -0.00,       -0.00,        0.02,       0.02
  155,      -0.01,       -0.02,       -0.03,       0.03
  156,      -0.00,       -0.01,        0.02,       0.02
  157,      -0.01,       -0.01,        0.04,       0.04
  158,       0.00,       -0.02,       -0.01,       0.02
  159,      -0.01,       -0.02,       -0.03,       0.04
  160,      -0.01,       -0.02,       -0.00,       0.02
  161,      -0.00,       -0.01,        0.04,       0.04
  162,       0.00,       -0.02,       -0.02,       0.03
  163,      -0.01,       -0.02,        0.01,       0.03
  164,      -0.02,        0.00,        0.02,       0.03
  165,      -0.01,       -0.02,       -0.00,       0.02
  166,      -0.01,       -0.01,        0.01,       0.02
  167,      -0.01,       -0.01,        0.04,       0.04
  168,       0.01,       -0.01,        0.01,       0.01
  169,       0.00,       -0.01,       -0.03,       0.03
  170,      -0.01,       -0.02,       -0.03,       0.04
  171,        NaN,         NaN,         NaN,        NaN
  172,        NaN,         NaN,         NaN,        NaN
  173,      -0.00,       -0.02,        0.01,       0.02
  174,       0.00,       -0.01,        0.02,       0.03
  175,       0.01,        0.01,       -0.00,       0.01
  176,       0.00,        0.01,        0.02,       0.02
  177,      -0.00,       -0.01,       -0.02,       0.02
  178,      -0.02,        0.01,        0.01,       0.02
  179,      -0.00,       -0.01,        0.01,       0.01
  180,       0.01,       -0.03,       -0.03,       0.04
  181,      -0.00,       -0.01,       -0.03,       0.03
  182,      -0.01,       -0.02,       -0.02,       0.03
  183,      -0.01,       -0.03,        0.01,       0.03
  184,       0.29,       -0.05,        0.09,       0.31
  185,       2.31,       -0.35,        0.24,       2.35
  186,       2.74,       -0.40,        0.15,       2.77
  187,       1.90,       -0.26,        0.21,       1.93
  188,       0.37,        0.00,        0.10,       0.38
  189,       0.35,       -0.00,        0.09,       0.36
  190,       0.34,        0.01,        0.10,       0.36
  191,       0.34,        0.01,        0.09,       0.36
  192,       0.34,        0.01,        0.12,       0.36
  193,       0.33,        0.01,        0.15,       0.36
  194,       0.32,        0.02,        0.11,       0.34
  195,       0.33,        0.04,        0.13,       0.36
  196,       0.32,        0.01,        0.13,       0.35
  197,       0.33,        0.02,        0.12,       0.35
  198,       0.33,        0.01,        0.10,       0.34
  199,       0.33,        0.03,        0.15,       0.36
  200,       0.33,        0.02,        0.14,       0.36
  201,       0.34,        0.00,        0.13,       0.36
  202,       0.36,        0.00,        0.15,       0.39
  203,       0.33,        0.01,        0.14,       0.36
  204,       0.33,        0.02,        0.10,       0.34
  205,       0.32,        0.02,        0.11,       0.34
  206,       0.32,        0.01,        0.14,       0.35
  207,       0.33,        0.01,        0.12,       0.35
  208,       0.32,        0.01,        0.10,       0.33
  209,       0.35,        0.01,        0.12,       0.37
  210,       2.30,       -0.29,        0.15,       2.32
  211,       2.96,       -0.40,        0.06,       2.98
