2026-02-06T16:08:35.510,        NaN,         NaN,         NaN
2026-02-06T16:08:35.510,        NaN,         NaN,         NaN
2026-02-06T16:08:35.563,        NaN,         NaN,         NaN
2026-02-06T16:08:45.564,        NaN,         NaN,         NaN
2026-02-06T16:08:45.565,      97.96,      188.17,      139.47
2026-02-06T16:08:46.078,      97.96,      188.19,      139.49
2026-02-06T16:08:46.595,      97.97,      188.20,      139.48
2026-02-06T16:08:47.109,      97.96,      188.19,      139.52
2026-02-06T16:08:47.628,      97.96,      188.21,      139.58
2026-02-06T16:08:48.175,      97.96,      188.20,      139.55
2026-02-06T16:08:48.692,      97.97,      188.22,      139.53
2026-02-06T16:08:49.210,      97.98,      188.19,      139.46
2026-02-06T16:08:49.726,      97.97,      188.20,      139.46
2026-02-06T16:08:50.243,      97.96,      188.20,      139.52
2026-02-06T16:08:50.756,      97.97,      188.17,      139.49
2026-02-06T16:08:51.272,      97.96,      188.19,      139.57
2026-02-06T16:08:51.775,      97.97,      188.20,      139.54
2026-02-06T16:08:52.291,      97.96,      188.19,      139.49
2026-02-06T16:08:52.804,      97.98,      188.19,      139.50
2026-02-06T16:08:53.319,      97.98,      188.20,      139.51
2026-02-06T16:08:53.836,      97.97,      188.19,      139.51
2026-02-06T16:08:54.338,      97.97,      188.18,      139.50
2026-02-06T16:08:54.851,      97.96,      188.18,      139.52
2026-02-06T16:08:55.367,      97.96,      188.22,      139.58
2026-02-06T16:08:55.884,      97.97,      188.22,      139.56
2026-02-06T16:08:56.403,      97.96,      188.19,      139.53
2026-02-06T16:08:56.918,      97.96,      188.19,      139.51
2026-02-06T16:08:57.465,      97.96,      188.20,      139.49
2026-02-06T16:08:57.986,      97.97,      188.19,      139.50
2026-02-06T16:08:58.501,      97.95,      188.18,      139.49
2026-02-06T16:08:59.014,      97.96,      188.19,      139.51
2026-02-06T16:08:59.530,      97.97,      188.20,      139.51
2026-02-06T16:09:00.032,      97.97,      188.20,      139.50
2026-02-06T16:09:00.547,      97.98,      188.20,      139.49
2026-02-06T16:09:01.061,      97.96,      188.18,      139.52
2026-02-06T16:09:01.578,      97.96,      188.18,      139.53
