"Sensor 11 Average (x, y, z)"
"[0.0007650000000000157, 0.012975, -0.0285076]"
"[0.003405000000000019, 0.014985000000000012, -0.0296692]"
"[0.003630000000000036, 0.013245000000000007, -0.03281519999999999]"
"[0.004530000000000034, 0.009524999999999992, -0.034993199999999995]"
"[0.0042450000000000265, 0.009014999999999981, -0.034001]"
"[0.006555000000000033, 0.005519999999999983, -0.036178999999999996]"
"[-0.0013049999999999728, 0.015345000000000011, -0.025652]"
"[-0.001664999999999972, 0.01335, -0.028362400000000003]"
"[0.0023100000000000342, 0.012254999999999988, -0.0291852]"
"[0.0010200000000000209, 0.010815000000000005, -0.0345576]"
"[0.002175000000000038, 0.009870000000000004, -0.03450920000000001]"
"[0.0035400000000000154, 0.008264999999999995, -0.0337106]"
"[-0.0020549999999999735, 0.016379999999999978, -0.0259908]"
"[-0.00065999999999998, 0.015209999999999974, -0.027733200000000006]"
"[-0.002114999999999978, 0.013094999999999996, -0.029596600000000008]"
"[-0.0019049999999999762, 0.011969999999999995, -0.033105600000000006]"
"[-0.0009299999999999725, 0.012584999999999999, -0.033904199999999995]"
"[0.0015750000000000208, 0.006629999999999997, -0.0350658]"
"[-0.006089999999999977, 0.018060000000000007, -0.025047]"
"[-0.005729999999999964, 0.015015, -0.026813599999999993]"
"[-0.0039749999999999786, 0.014984999999999998, -0.027708999999999998]"
"[-0.0020399999999999724, 0.014024999999999982, -0.0309276]"
"[-0.003899999999999959, 0.010394999999999988, -0.031968200000000016]"
"[-0.002549999999999983, 0.009959999999999997, -0.034848]"
"[-0.007499999999999979, 0.01655999999999999, -0.022506000000000005]"
"[-0.007319999999999965, 0.01781999999999999, -0.0230142]"
"[-0.006359999999999963, 0.01583999999999998, -0.026353800000000004]"
"[-0.00640499999999998, 0.012495000000000006, -0.026861999999999997]"
"[-0.0038549999999999696, 0.011144999999999974, -0.028265599999999995]"
"[-0.005909999999999964, 0.009389999999999996, -0.026741000000000008]"
"[-0.009059999999999964, 0.019034999999999996, -0.021658999999999998]"
"[-0.010544999999999964, 0.018479999999999996, -0.0224576]"
"[-0.009044999999999977, 0.014910000000000007, -0.024321000000000002]"
"[-0.009584999999999969, 0.016064999999999982, -0.025676200000000003]"
"[-0.009194999999999981, 0.01321499999999999, -0.026426399999999996]"
"[-0.007529999999999967, 0.012345000000000009, -0.026450600000000005]"
