"Sensor 11 Average (x, y, z)"
"[-0.052110000000000004, -0.53586, 1.1288332]"
"[-0.05538, -0.48269999999999996, 1.2246651999999998]"
"[-0.055529999999999996, -0.41343, 1.3071388]"
"[-0.06102, -0.3298499999999999, 1.3781416]"
"[-0.06402, -0.23603999999999997, 1.43143]"
"[-0.06543, -0.13341, 1.4691819999999998]"
"[0.033479999999999996, -0.53667, 1.1344476]"
"[0.035100000000000006, -0.47979, 1.2269884]"
"[0.036659999999999984, -0.41115, 1.3093652]"
"[0.04004999999999999, -0.32853000000000004, 1.3776092]"
"[0.04059, -0.23279999999999998, 1.4306071999999999]"
"[0.041550000000000004, -0.13155, 1.4696175999999999]"
"[0.11745000000000001, -0.5297699999999999, 1.1206052]"
"[0.12375000000000004, -0.47307, 1.210484]"
"[0.13182, -0.40523999999999993, 1.2892308000000001]"
"[0.13784999999999997, -0.3222, 1.3616855999999997]"
"[0.14570999999999995, -0.22887000000000002, 1.4132799999999996]"
"[0.14882999999999996, -0.12869999999999998, 1.4442075999999997]"
"[0.20021999999999995, -0.5172300000000001, 1.0874995999999997]"
"[0.21239999999999998, -0.46314000000000005, 1.1742807999999998]"
"[0.22187999999999997, -0.39435, 1.2552055999999998]"
"[0.2318699999999999, -0.31497, 1.319868]"
"[0.24131999999999998, -0.22365, 1.3710268000000003]"
"[0.24678000000000005, -0.12597, 1.404084]"
"[0.2696699999999999, -0.5017199999999999, 1.0510544]"
"[0.28985999999999995, -0.44888999999999996, 1.1333344]"
"[0.30551999999999996, -0.38283, 1.2110648]"
"[0.31653, -0.30611999999999995, 1.2711291999999998]"
"[0.33224999999999993, -0.21516, 1.3199647999999997]"
"[0.33575999999999995, -0.1206, 1.3542804]"
"[0.33693, -0.4794, 0.9942327999999999]"
"[0.35739000000000004, -0.42864, 1.0733668]"
"[0.3777899999999999, -0.36411, 1.1459667999999998]"
"[0.3950399999999999, -0.29003999999999996, 1.2040951999999998]"
"[0.4088399999999999, -0.20736, 1.2520112]"
"[0.4175399999999999, -0.11454, 1.2810028]"
