"Sensor 8 Average (x, y, z)"
"[-0.05510999999999999, -0.036105000000000005, -0.249502]"
"[-0.05406, -0.04704, -0.24471040000000002]"
"[-0.052994999999999994, -0.057164999999999994, -0.238007]"
"[-0.050879999999999995, -0.06584999999999999, -0.22992420000000002]"
"[-0.04957500000000001, -0.07434, -0.22218020000000005]"
"[-0.064575, -0.035625, -0.2432584]"
"[-0.063885, -0.045930000000000006, -0.23805540000000003]"
"[-0.06250499999999999, -0.055229999999999994, -0.23123100000000002]"
"[-0.06051, -0.06410999999999999, -0.22414040000000005]"
"[-0.058664999999999995, -0.07276500000000001, -0.2165416]"
"[-0.07332, -0.03471, -0.23474]"
"[-0.07188, -0.044085, -0.2293434]"
"[-0.07014, -0.053715, -0.22358380000000003]"
"[-0.06874499999999999, -0.06192, -0.21644480000000002]"
"[-0.06730499999999999, -0.07060500000000001, -0.20833780000000002]"
"[-0.08131500000000001, -0.032775000000000006, -0.2255682]"
"[-0.08012999999999999, -0.042480000000000004, -0.2203168]"
"[-0.07867499999999998, -0.05173499999999999, -0.21465400000000004]"
"[-0.07592999999999998, -0.060509999999999994, -0.20819259999999998]"
"[-0.07422, -0.06787499999999999, -0.20056960000000004]"
"[-0.08896499999999999, -0.031199999999999995, -0.21557359999999998]"
"[-0.086805, -0.040995, -0.21087880000000003]"
"[-0.08572499999999998, -0.049890000000000004, -0.2054822]"
"[-0.08262, -0.05799, -0.1989966]"
"[-0.08053500000000001, -0.06552000000000001, -0.19222060000000002]"
"[-0.043455, -0.02796, -0.210903]"
"[-0.04306499999999999, -0.03658499999999999, -0.2068616]"
"[-0.041925, -0.044535000000000005, -0.20165860000000002]"
"[-0.04112999999999999, -0.05140499999999999, -0.1969638]"
"[-0.040319999999999995, -0.0594, -0.18914720000000002]"
"[-0.05140499999999999, -0.027555, -0.20582099999999998]"
"[-0.050699999999999995, -0.036074999999999996, -0.20122299999999999]"
"[-0.049695, -0.043515, -0.19691540000000002]"
"[-0.049034999999999995, -0.050865, -0.19122840000000002]"
"[-0.0474, -0.057734999999999995, -0.1839684]"
"[-0.058214999999999996, -0.026864999999999997, -0.1994564]"
"[-0.058019999999999995, -0.03486, -0.19563279999999997]"
"[-0.056880000000000014, -0.042435, -0.1906718]"
"[-0.054945, -0.049755, -0.18496060000000003]"
"[-0.05394, -0.05623500000000001, -0.180169]"
"[-0.065205, -0.025679999999999998, -0.19258360000000002]"
"[-0.064275, -0.033734999999999994, -0.1884212]"
"[-0.063, -0.041100000000000005, -0.1842588]"
"[-0.061889999999999994, -0.04803, -0.1793946]"
"[-0.059985000000000004, -0.05414999999999999, -0.17327199999999998]"
"[-0.07134, -0.0249, -0.1848154]"
"[-0.070275, -0.032115, -0.18147580000000002]"
"[-0.06862499999999998, -0.039435000000000005, -0.1776038]"
"[-0.067365, -0.046095000000000004, -0.1726186]"
"[-0.065715, -0.052289999999999996, -0.1670768]"
