"Sensor 8 Average (x, y, z)"
"[-1.1419199999999998, 0.530565, -1.6507304000000003]"
"[-1.2166499999999998, 0.25849500000000003, -1.7811684]"
"[-1.236765, -0.05351999999999999, -1.8075222000000004]"
"[-1.1967299999999998, -0.35085, -1.7206683999999999]"
"[-1.1067449999999999, -0.603945, -1.5457024]"
"[-0.9816149999999999, -0.78159, -1.3072356]"
"[-1.1713499999999997, 0.4373699999999999, -1.2627076]"
"[-1.2378749999999996, 0.21390000000000006, -1.3573780000000002]"
"[-1.2549599999999999, -0.03905999999999999, -1.3752618]"
"[-1.21878, -0.28164, -1.3103816000000001]"
"[-1.1318400000000002, -0.489645, -1.1831380000000002]"
"[-1.010835, -0.6392849999999999, -1.0088738000000002]"
"[-1.1199, 0.35365500000000005, -0.9273440000000001]"
"[-1.1769899999999998, 0.17531999999999998, -0.9929259999999999]"
"[-1.194075, -0.027270000000000003, -1.0019284]"
"[-1.15983, -0.22073999999999996, -0.9584652000000001]"
"[-1.085985, -0.3853049999999999, -0.8671343999999999]"
"[-0.97944, -0.512145, -0.7453841999999999]"
"[-1.022745, 0.27959999999999996, -0.652432]"
"[-1.073745, 0.139545, -0.6962581999999999]"
"[-1.085145, -0.015060000000000004, -0.7045346]"
"[-1.05654, -0.16735499999999998, -0.6749621999999998]"
"[-0.994935, -0.300945, -0.6093801999999998]"
"[-0.90555, -0.40339499999999995, -0.5281408000000001]"
"[-0.90567, 0.22078499999999998, -0.43666479999999996]"
"[-0.9464549999999999, 0.11043, -0.46797960000000005]"
"[-0.95607, -0.007439999999999995, -0.4706658]"
"[-0.9324450000000001, -0.12549, -0.45307239999999993]"
"[-0.8832300000000001, -0.22835999999999998, -0.41294879999999995]"
"[-0.8125200000000001, -0.31001999999999996, -0.35402180000000005]"
"[-0.785625, 0.174075, -0.2801391999999999]"
"[-0.816645, 0.08817, -0.29930559999999995]"
"[-0.8238300000000002, -0.002924999999999997, -0.30199180000000003]"
"[-0.8079, -0.09356999999999999, -0.2904]"
"[-0.7675350000000001, -0.17468999999999996, -0.26082760000000005]"
"[-0.7113, -0.2391, -0.22464859999999998]"
