,x,y,z,Mx,My,Mz,Mx_std,My_std,Mz_std
688,-2.4,0.8,4.0,3.136000000000001,-1.5836800000000004,10.976000000000006,8.926528984957934e-16,0.1568,5.355917390974761e-15
689,0.0,0.0,8.8,-1.5680000000000005,0.12152000000000002,3.136000000000001,4.463264492478967e-16,0.3158317056006668,8.926528984957934e-16
690,4.0,-0.8,11.2,-1.5680000000000005,0.25676000000000004,1.5631000000000006,4.463264492478967e-16,0.22102128056964668,0.02146620552864387
691,1.6,3.2,10.4,-1.5680000000000005,-1.5680000000000005,1.5680000000000005,4.463264492478967e-16,4.463264492478967e-16,4.463264492478967e-16
692,0.8,3.2,4.8,-3.136000000000001,-4.704000000000001,6.272000000000002,8.926528984957934e-16,0.0,1.785305796991587e-15
693,0.8,0.0,10.4,-1.5680000000000005,-0.04312000000000002,1.5680000000000005,4.463264492478967e-16,0.4917430814783449,4.463264492478967e-16
694,1.6,-2.4,4.8,-4.4374400000000005,3.136000000000001,6.272000000000002,0.5919594635316228,8.926528984957934e-16,1.785305796991587e-15
695,3.2,-2.4,8.8,-1.5993600000000003,0.9300200000000003,1.5680000000000005,0.2206259012057022,0.13963545467401967,4.463264492478967e-16
696,-4.0,3.2,8.8,0.9427600000000002,-1.5680000000000005,1.5680000000000005,0.13416852963133474,4.463264492478967e-16,4.463264492478967e-16
697,-0.8,4.0,4.0,-1.4092400000000003,-7.840000000000003,6.334720000000002,0.47904406326083876,3.570611593983174e-15,0.30881193256894995
698,-1.6,4.0,8.0,0.1764,-2.2892799999999998,2.8851200000000006,0.2697361224559584,0.785424161028468,0.5777342243102739
699,0.8,-2.4,6.4,-1.5836800000000004,1.5680000000000005,4.704000000000001,0.1568,4.463264492478967e-16,0.0
700,0.0,0.8,12.0,-1.4112,-0.4684400000000001,1.5680000000000005,0.47276978829793337,0.7787333709494559,4.463264492478967e-16
701,0.0,1.6,10.4,-1.5680000000000005,-1.5523200000000004,1.5680000000000005,4.463264492478967e-16,0.15679999999999997,4.463264492478967e-16
702,2.4,-4.0,6.4,-3.136000000000001,1.5680000000000005,3.136000000000001,8.926528984957934e-16,4.463264492478967e-16,8.926528984957934e-16
703,2.4,0.0,4.8,-6.130880000000002,0.44884,6.5228800000000025,0.450993634302989,0.14217251719817248,0.5777342243102738
704,4.0,3.2,4.8,-4.704000000000001,-3.136000000000001,3.136000000000001,0.0,8.926528984957934e-16,8.926528984957934e-16
705,-1.6,-2.4,10.4,0.11172000000000003,0.7702800000000002,1.5680000000000005,0.4224955221805626,0.13999971717143148,4.463264492478967e-16
706,-1.6,4.0,5.6,0.58408,-4.704000000000001,4.704000000000001,0.1205653081750863,0.0,0.0
707,-2.4,0.8,11.2,0.27342,-0.7879200000000001,1.5680000000000005,0.22472758728035258,0.8176662488726403,4.463264492478967e-16
708,-0.8,-4.0,11.2,-0.71148,0.8418200000000003,1.5680000000000005,0.8129902217161413,0.1421145063999201,4.463264492478967e-16
