"Sensor 3 Average (x, y, z)"
"[0.028965, 0.06804, -0.043511600000000004]"
"[0.025214999999999998, 0.07156499999999999, -0.04670599999999999]"
"[0.020415, 0.07509, -0.0498278]"
"[0.01497, 0.07762500000000001, -0.052271999999999985]"
"[0.009149999999999998, 0.07947, -0.053724]"
"[0.0037949999999999993, 0.08017500000000001, -0.054498399999999995]"
"[-0.00411, 0.08028000000000002, -0.0543774]"
"[-0.009584999999999998, 0.07983, -0.05379659999999999]"
"[-0.015120000000000001, 0.07828500000000001, -0.052296199999999994]"
"[-0.019575, 0.07702500000000002, -0.0514008]"
"[-0.024615, 0.07398, -0.048569400000000006]"
