"Sensor 2 Average (x, y, z)"
"[-0.09183, 0.011550000000000001, -0.14945920000000001]"
"[-0.09543, 0.010454999999999999, -0.13230139999999999]"
"[-0.0966, 0.009045, -0.11342539999999997]"
"[-0.09567, 0.008145, -0.09718719999999999]"
"[-0.093015, 0.006885, -0.0823284]"
"[-0.089145, 0.006059999999999999, -0.0699622]"
"[-0.08334000000000001, 0.005175, -0.0551518]"
"[-0.0789, 0.00447, -0.045738]"
"[-0.073695, 0.0038849999999999996, -0.037437399999999996]"
"[-0.06969, 0.0029099999999999994, -0.031218000000000003]"
"[-0.063975, 0.0022649999999999997, -0.024248400000000003]"
