,Magnetometerx,Magnetometery,Magnetometerz
0,1.47,-3.136,0.98
1,1.568,-3.136,1.078
2,1.274,-3.136,0.98
3,1.274,-3.136,0.98
4,1.274,-3.136,0.98
5,1.274,-3.136,0.98
6,1.47,-3.136,1.078
7,1.47,-3.136,1.078
8,1.47,-3.136,1.078
9,1.47,-3.136,1.078
10,1.47,-3.136,1.078
11,1.274,-3.136,1.078
12,1.1760000000000002,-3.136,1.078
13,1.47,-3.136,0.98
14,1.47,-3.136,0.98
15,1.47,-3.136,0.98
16,1.47,-3.136,0.98
17,1.568,-3.136,1.078
18,1.47,-3.136,0.98
19,1.372,-3.136,1.078
20,1.372,-3.136,1.078
21,1.372,-3.136,1.078
22,1.372,-3.136,1.078
23,1.47,-3.136,1.078
24,1.47,-3.136,1.078
25,1.47,-3.136,1.078
26,1.47,-3.136,1.078
27,1.47,-3.136,1.078
28,1.372,-3.136,0.98
29,1.372,-3.136,0.98
30,1.47,-3.136,1.078
31,1.47,-3.136,1.078
32,1.47,-3.136,1.078
33,1.372,-3.136,0.882
34,1.47,-3.136,0.98
35,1.568,-3.136,1.078
36,1.568,-3.136,1.078
37,1.568,-3.136,1.078
38,1.568,-3.136,1.078
39,1.372,-3.136,1.078
40,1.47,-3.136,0.98
41,1.47,-3.136,1.078
42,1.47,-3.136,1.078
43,1.47,-3.136,1.078
44,1.47,-3.136,0.98
45,1.568,-3.136,0.98
46,1.372,-3.136,1.1760000000000002
47,1.372,-3.136,1.1760000000000002
48,1.372,-3.136,1.1760000000000002
49,1.372,-3.136,1.1760000000000002
50,1.1760000000000002,-3.136,1.078
51,1.372,-3.136,0.98
52,1.568,-3.136,1.078
53,1.568,-3.136,1.078
54,1.568,-3.136,1.078
55,1.568,-3.136,1.078
56,1.47,-3.136,1.078
57,1.47,-3.136,1.078
58,1.47,-3.136,1.078
59,1.47,-3.136,1.078
60,1.47,-3.136,1.078
61,1.372,-3.136,1.1760000000000002
62,1.568,-3.136,1.078
63,1.47,-3.136,1.078
64,1.47,-3.136,1.078
65,1.47,-3.136,1.078
66,1.47,-3.136,1.078
67,1.274,-3.136,0.98
68,1.372,-3.136,1.1760000000000002
69,1.568,-3.136,1.078
70,1.568,-3.136,1.078
71,1.568,-3.136,1.078
72,1.47,-3.136,0.98
73,1.372,-3.136,0.98
74,1.372,-3.136,0.98
75,1.372,-3.136,0.98
76,1.372,-3.136,0.98
77,1.372,-3.136,0.98
78,1.47,-3.136,1.078
79,1.568,-3.136,1.1760000000000002
80,1.372,-3.136,1.078
81,1.372,-3.136,1.078
82,1.372,-3.136,1.078
83,1.372,-3.136,0.882
84,1.47,-3.136,1.078
85,1.1760000000000002,-3.136,1.078
86,1.1760000000000002,-3.136,1.078
87,1.1760000000000002,-3.136,1.078
88,1.1760000000000002,-3.136,1.078
89,1.568,-3.136,1.078
90,1.47,-3.136,1.1760000000000002
91,1.47,-3.136,1.078
92,1.47,-3.136,1.078
93,1.47,-3.136,1.078
94,1.47,-3.136,1.078
95,1.47,-3.136,1.078
96,1.47,-3.136,1.078
97,1.47,-3.136,1.078
98,1.47,-3.136,1.078
99,1.47,-3.136,1.078
