"Sensor 15 Average (x, y, z)"
"[0.078045, 0.7485299999999999, -0.1371656]"
"[0.09870000000000001, 0.8958149999999998, -0.25199460000000007]"
"[0.12888000000000002, 1.058955, -0.42166079999999995]"
"[0.16732499999999997, 1.2300299999999997, -0.6626685999999998]"
"[0.21186, 1.3941, -0.9839477999999999]"
"[0.2673, 1.5196049999999999, -1.3984454]"
"[0.03961499999999999, 0.7623, -0.138061]"
"[0.052935, 0.9065849999999998, -0.256399]"
"[0.075825, 1.0777199999999998, -0.435963]"
"[0.095505, 1.2496199999999997, -0.6777693999999999]"
"[0.11994000000000002, 1.41366, -1.0097691999999998]"
"[0.15128999999999998, 1.5380099999999999, -1.441352]"
"[-0.026444999999999996, 0.7698, -0.14401420000000004]"
"[-0.035715, 0.9129299999999999, -0.26644199999999996]"
"[-0.052079999999999994, 1.07805, -0.43748760000000003]"
"[-0.06835499999999999, 1.24863, -0.680383]"
"[-0.09641999999999999, 1.41, -1.0078573999999998]"
"[-0.12977999999999998, 1.5343499999999999, -1.4302926]"
"[-0.09973499999999999, 0.748335, -0.13312419999999997]"
"[-0.12872999999999998, 0.8874449999999999, -0.24906640000000002]"
"[-0.174315, 1.04232, -0.4118356]"
"[-0.22771499999999997, 1.2018449999999998, -0.6414935999999998]"
"[-0.29677499999999996, 1.35303, -0.9472605999999999]"
"[-0.387165, 1.4646449999999998, -1.3412607999999997]"
"[-0.159405, 0.7123049999999999, -0.11698279999999998]"
"[-0.21039, 0.8393399999999998, -0.21850179999999997]"
"[-0.27435, 0.9786600000000001, -0.3650328]"
"[-0.357975, 1.1214299999999997, -0.569305]"
"[-0.46287000000000006, 1.250955, -0.8387477999999999]"
"[-0.5929949999999999, 1.3461149999999997, -1.1852192]"
"[-0.21076499999999998, 0.6610799999999999, -0.0939686]"
"[-0.27280499999999996, 0.77211, -0.1769504]"
"[-0.352305, 0.8920049999999998, -0.30741260000000004]"
"[-0.45451500000000006, 1.013205, -0.4787244]"
"[-0.5852700000000001, 1.1198099999999998, -0.7084792]"
"[-0.7355550000000001, 1.1903249999999999, -0.9912077999999998]"
