"Sensor 3 Average (x, y, z)"
"[0.046079999999999996, -0.11232000000000002, -0.022167199999999998]"
"[0.05400000000000002, -0.09617999999999997, -0.03997839999999998]"
"[0.038790000000000005, -0.07415999999999999, -0.0408496]"
"[0.04877999999999999, -0.09263999999999999, -0.0413336]"
"[0.06491999999999999, -0.11802, -0.04602839999999998]"
"[0.06005999999999999, -0.13652999999999998, -0.0420112]"
"[0.06597000000000001, -0.12317999999999997, -0.04346320000000001]"
"[0.07635000000000002, -0.14115, -0.043027600000000006]"
"[0.07715999999999999, -0.13893000000000005, -0.0445764]"
"[0.060450000000000004, -0.11598000000000001, -0.04278559999999999]"
"[0.06662999999999998, -0.09404999999999998, -0.046948]"
"[0.060689999999999994, -0.10839000000000003, -0.042930800000000005]"
