"Sensor 9 Average (x, y, z)"
"[0.0032400000000000003, -0.07323000000000002, -0.033783199999999985]"
"[0.01677, -0.06198000000000001, -0.050578]"
"[0.015179999999999999, -0.045899999999999996, -0.04506039999999999]"
"[0.01626, -0.05843999999999999, -0.05072319999999997]"
"[0.01671, -0.07427999999999998, -0.05498239999999998]"
"[0.01131, -0.0786, -0.05619239999999999]"
"[0.01806, -0.07476000000000002, -0.05565999999999998]"
"[0.018330000000000003, -0.08667, -0.049755199999999986]"
"[0.019200000000000002, -0.08838000000000004, -0.055030799999999984]"
"[0.01617, -0.07022999999999999, -0.05149759999999999]"
"[0.023880000000000005, -0.06692999999999999, -0.05106199999999998]"
"[0.019170000000000003, -0.06893999999999997, -0.05135239999999998]"
