"Sensor 10 Average (x, y, z)"
"[0.01014, -0.06945000000000001, -0.029039999999999996]"
"[0.023700000000000002, -0.05745, -0.05038440000000001]"
"[0.020280000000000003, -0.04490999999999999, -0.04326960000000002]"
"[0.02187, -0.05463, -0.050868399999999994]"
"[0.026730000000000004, -0.07227000000000001, -0.053869200000000006]"
"[0.0213, -0.07665, -0.052175200000000005]"
"[0.02559, -0.07070999999999998, -0.05667640000000001]"
"[0.029309999999999996, -0.08355, -0.0550308]"
"[0.028800000000000003, -0.08085, -0.053530400000000006]"
"[0.02373, -0.06930000000000001, -0.0502392]"
"[0.029340000000000005, -0.06216000000000001, -0.053966]"
"[0.02316, -0.06684, -0.05052960000000001]"
