"Sensor 1 Average (x, y, z)"
"[0.011550000000000001, -0.1428, -0.0210056]"
"[0.02355, -0.12194999999999998, -0.04201120000000001]"
"[0.021630000000000003, -0.09129000000000001, -0.040317200000000004]"
"[0.024, -0.11441999999999997, -0.0478676]"
"[0.028919999999999998, -0.1551, -0.0478676]"
"[0.012900000000000002, -0.1638, -0.04433440000000001]"
"[0.02517, -0.15783, -0.045738000000000015]"
"[0.02853, -0.18495000000000003, -0.04167240000000001]"
"[0.02991, -0.18348, -0.04133360000000001]"
"[0.02271, -0.14703, -0.044818400000000015]"
"[0.04116, -0.13374, -0.048303200000000004]"
"[0.026460000000000004, -0.14234999999999998, -0.04709320000000001]"
