"Sensor 4 Average (x, y, z)"
"[-0.8783399999999999, -0.29768999999999995, -0.22060720000000006]"
"[-0.82575, -0.33408, -0.19330959999999997]"
"[-0.77133, -0.36027, -0.16107520000000003]"
"[-0.71187, -0.37977, -0.12932480000000002]"
"[-0.65355, -0.39161999999999997, -0.10134960000000001]"
"[-0.5959499999999999, -0.39536999999999994, -0.07206760000000001]"
"[-0.96495, -0.34923000000000004, -0.308066]"
"[-0.9083099999999998, -0.39159, -0.267894]"
"[-0.8415300000000001, -0.42051000000000005, -0.2299484]"
"[-0.7725900000000001, -0.44022000000000006, -0.1918092]"
"[-0.7057199999999999, -0.4525800000000001, -0.1529924]"
"[-0.6388799999999999, -0.4560899999999999, -0.116644]"
"[-1.0571099999999998, -0.40890000000000004, -0.40898]"
"[-0.9851100000000002, -0.4573499999999999, -0.35990239999999996]"
"[-0.9104999999999999, -0.48933000000000004, -0.31305120000000003]"
"[-0.83205, -0.51039, -0.2607792]"
"[-0.75987, -0.52308, -0.2125728]"
"[-0.6827999999999999, -0.52251, -0.1702712]"
"[-1.1453099999999998, -0.48669000000000007, -0.5467748]"
"[-1.06362, -0.53814, -0.48066039999999993]"
"[-0.9797100000000001, -0.5759399999999999, -0.4146428]"
"[-0.8932499999999998, -0.5943599999999999, -0.3468344]"
"[-0.80613, -0.6009899999999999, -0.28580199999999994]"
"[-0.7200599999999999, -0.59805, -0.22806079999999995]"
"[-1.23018, -0.56958, -0.7052847999999999]"
"[-1.13733, -0.62571, -0.6165191999999999]"
"[-1.0407899999999999, -0.66246, -0.5343844]"
"[-0.9418200000000001, -0.6867, -0.44755480000000003]"
"[-0.8471699999999999, -0.69135, -0.3681787999999999]"
"[-0.7538099999999999, -0.68073, -0.29707919999999993]"
"[-1.2987299999999997, -0.6591, -0.8844615999999998]"
"[-1.1964, -0.72642, -0.7743031999999999]"
"[-1.09038, -0.76536, -0.667436]"
"[-0.98076, -0.7847999999999999, -0.5635211999999999]"
"[-0.87489, -0.78327, -0.46042920000000004]"
"[-0.77583, -0.7697699999999998, -0.3734059999999999]"
