"Sensor 12 Average (x, y, z)"
"[-0.9102599999999998, 0.26394, -0.2466948]"
"[-0.9452999999999999, 0.21282, -0.2634412]"
"[-0.9711000000000001, 0.15099, -0.2764124]"
"[-0.9866999999999999, 0.08874, -0.2821236]"
"[-0.9890700000000001, 0.023370000000000002, -0.2822688]"
"[-0.9822599999999998, -0.04172999999999996, -0.276606]"
"[-1.0008000000000001, 0.30711, -0.33633159999999995]"
"[-1.04358, 0.24708000000000002, -0.3628064]"
"[-1.07295, 0.17835, -0.37776200000000004]"
"[-1.09251, 0.0993, -0.3881195999999999]"
"[-1.0987500000000001, 0.025529999999999997, -0.388652]"
"[-1.09029, -0.05234999999999998, -0.38202119999999995]"
"[-1.0983899999999998, 0.36192, -0.4525883999999999]"
"[-1.1482199999999998, 0.28962, -0.48061199999999993]"
"[-1.18329, 0.20859, -0.5051508]"
"[-1.2040799999999998, 0.11718, -0.5174928]"
"[-1.2163499999999998, 0.02373, -0.5253819999999999]"
"[-1.20504, -0.06761999999999999, -0.5168151999999999]"
"[-1.2033599999999998, 0.4240499999999999, -0.5994824]"
"[-1.25784, 0.33762000000000003, -0.6447848]"
"[-1.3017599999999998, 0.24177, -0.6731471999999998]"
"[-1.32615, 0.135, -0.6935235999999999]"
"[-1.3314899999999998, 0.02463, -0.6958951999999999]"
"[-1.31868, -0.08523, -0.6789552]"
"[-1.2946199999999999, 0.49614, -0.7728996]"
"[-1.3583699999999999, 0.39873000000000003, -0.8280756000000001]"
"[-1.40598, 0.28302, -0.8676183999999999]"
"[-1.4369399999999999, 0.15474, -0.8938995999999999]"
"[-1.44444, 0.02682000000000001, -0.8992236000000001]"
"[-1.4298899999999999, -0.10634999999999997, -0.8824288]"
"[-1.3757699999999997, 0.57714, -0.9719688000000001]"
"[-1.4513099999999999, 0.46206, -1.0461659999999997]"
"[-1.5049500000000002, 0.32882999999999996, -1.0959696]"
"[-1.5384, 0.18015, -1.1310111999999999]"
"[-1.54512, 0.02618999999999999, -1.1357544]"
"[-1.52736, -0.12830999999999995, -1.1135872]"
