"Sensor 14 Average (x, y, z)"
"[-0.8390399999999998, 1.27566, -1.052458]"
"[-0.95823, 1.2831599999999999, -1.2581095999999998]"
"[-1.08645, 1.25862, -1.4779908]"
"[-1.21356, 1.1916599999999997, -1.7052288]"
"[-1.33836, 1.0818599999999998, -1.9260296]"
"[-1.4496, 0.9233999999999999, -2.125002]"
"[-0.76395, 1.3831799999999996, -1.1936407999999998]"
"[-0.8771399999999998, 1.4000099999999998, -1.4306071999999996]"
"[-0.99891, 1.37628, -1.6888212000000002]"
"[-1.1217300000000001, 1.31259, -1.9540532000000002]"
"[-1.2408899999999998, 1.1931299999999998, -2.2065076]"
"[-1.3510499999999996, 1.0207199999999998, -2.4475396000000003]"
"[-0.65841, 1.4875200000000002, -1.3233527999999999]"
"[-0.75957, 1.51161, -1.5937151999999999]"
"[-0.8684099999999999, 1.4928899999999998, -1.885422]"
"[-0.98088, 1.425, -2.1877284]"
"[-1.0836000000000001, 1.3023, -2.501554]"
"[-1.18461, 1.11702, -2.7737556000000008]"
"[-0.5154899999999999, 1.58178, -1.458534]"
"[-0.59982, 1.61025, -1.7564844]"
"[-0.68985, 1.59516, -2.0876856]"
"[-0.78156, 1.52268, -2.4215972000000003]"
"[-0.87489, 1.3884900000000002, -2.752992]"
"[-0.95949, 1.19013, -3.0589284]"
"[-0.35120999999999997, 1.65045, -1.5450248]"
"[-0.41183999999999993, 1.68426, -1.8695468]"
"[-0.47550000000000003, 1.66929, -2.2211244000000003]"
"[-0.54435, 1.59786, -2.5890128000000003]"
"[-0.6134399999999998, 1.4596199999999997, -2.9488668000000002]"
"[-0.67662, 1.25202, -3.2796807999999995]"
"[-0.17010000000000003, 1.6923300000000001, -1.6049924000000002]"
"[-0.20024999999999998, 1.7293799999999997, -1.9496488]"
"[-0.23622000000000004, 1.7151599999999998, -2.3161336000000006]"
"[-0.27351000000000003, 1.6412399999999998, -2.6978644]"
"[-0.31443, 1.50138, -3.0763523999999993]"
"[-0.35424, 1.28439, -3.4224608]"
