"Sensor 16 Average (x, y, z)"
"[0.579315, -0.3578100000000001, 1.3858614000000002]"
"[0.6694500000000001, -0.41208000000000006, 1.2278354]"
"[0.7132799999999999, -0.378465, 1.058387]"
"[0.7302, -0.34326, 0.8968035999999999]"
"[0.7241850000000001, -0.31221, 0.7461828]"
"[0.700245, -0.285165, 0.6101304]"
"[0.5628, -0.56241, 1.2892066]"
"[0.63261, -0.5222099999999998, 1.1356818]"
"[0.6756900000000001, -0.47833500000000007, 0.9853998]"
"[0.6934049999999999, -0.4342350000000001, 0.8350936]"
"[0.6890099999999999, -0.39237, 0.6976376]"
"[0.666075, -0.35322, 0.5704182]"
"[0.52185, -0.656955, 1.1666336000000002]"
"[0.58839, -0.6039749999999999, 1.0309442]"
"[0.6295499999999999, -0.55398, 0.8939721999999999]"
"[0.6484949999999999, -0.5018400000000001, 0.7605576]"
"[0.6452699999999999, -0.45502500000000007, 0.6354678]"
"[0.627495, -0.41062499999999996, 0.5223085999999999]"
"[0.47198999999999997, -0.7240949999999999, 1.0311378]"
"[0.5360550000000001, -0.6702000000000001, 0.9144211999999999]"
"[0.5768550000000001, -0.6125849999999999, 0.7980434]"
"[0.5956650000000001, -0.555495, 0.6823673999999998]"
"[0.592965, -0.50076, 0.5645859999999999]"
"[0.5798099999999999, -0.45204, 0.46768919999999997]"
"[0.42357, -0.761355, 0.8915279999999999]"
"[0.4831799999999999, -0.70548, 0.7985515999999999]"
"[0.5221799999999999, -0.646725, 0.6961613999999999]"
"[0.5388000000000001, -0.5901899999999999, 0.5944488]"
"[0.542955, -0.534435, 0.5018354]"
"[0.53223, -0.47845499999999996, 0.4142314]"
"[0.37490999999999997, -0.7759200000000002, 0.7584521999999999]"
"[0.4286399999999999, -0.721695, 0.6774547999999999]"
"[0.46462499999999995, -0.6665399999999999, 0.5954893999999998]"
"[0.4839299999999999, -0.60804, 0.5122171999999999]"
"[0.4889400000000001, -0.549645, 0.43250239999999995]"
"[0.4839449999999999, -0.4963950000000001, 0.35832939999999996]"
