"Sensor 15 Average (x, y, z)"
"[-0.064065, -0.414975, 1.7802972]"
"[0.128955, -0.48634499999999997, 1.7751909999999997]"
"[0.2983350000000001, -0.4759049999999999, 1.7110368]"
"[0.446415, -0.4540349999999999, 1.6055974]"
"[0.5685750000000002, -0.42787500000000006, 1.4684318]"
"[0.6565350000000001, -0.39965999999999996, 1.3079858000000002]"
"[-0.041324999999999994, -0.63765, 1.6589584000000002]"
"[0.12563999999999997, -0.633495, 1.6394773999999996]"
"[0.28113, -0.61575, 1.5800422]"
"[0.42079500000000003, -0.591405, 1.4839440000000002]"
"[0.5332349999999999, -0.5577000000000001, 1.3580798]"
"[0.61758, -0.5164949999999999, 1.2129766]"
"[-0.03414, -0.74607, 1.4983430000000002]"
"[0.11949, -0.7390050000000001, 1.4840892000000003]"
"[0.26365500000000003, -0.718605, 1.4271466000000002]"
"[0.39106499999999994, -0.6902550000000001, 1.3420594000000001]"
"[0.49614, -0.64779, 1.2298682]"
"[0.57603, -0.604095, 1.1011484000000002]"
"[-0.028515, -0.8220900000000001, 1.3165284]"
"[0.10856999999999999, -0.8156550000000001, 1.3028554]"
"[0.23761500000000002, -0.795135, 1.2606022]"
"[0.3577199999999999, -0.76092, 1.1850498]"
"[0.452025, -0.7176300000000001, 1.0869914000000003]"
"[0.5268, -0.666915, 0.972477]"
"[-0.022154999999999994, -0.86136, 1.1352946]"
"[0.10089, -0.8548350000000001, 1.1284702000000002]"
"[0.21598500000000004, -0.8343750000000001, 1.088395]"
"[0.320655, -0.80208, 1.0254992]"
"[0.40818000000000004, -0.7576200000000001, 0.9447437999999999]"
"[0.47595, -0.7064400000000001, 0.8524691999999999]"
"[-0.018104999999999996, -0.8739899999999999, 0.9584168]"
"[0.08813999999999998, -0.869205, 0.949729]"
"[0.19332, -0.8484449999999999, 0.9185593999999999]"
"[0.284115, -0.8145, 0.8704014]"
"[0.36189, -0.7734900000000001, 0.8015766000000001]"
"[0.42483000000000004, -0.719955, 0.7283232]"
