"Sensor 9 Average (x, y, z)"
"[-1.9550850000000002, -1.305585, 0.33737219999999996]"
"[-2.2307399999999995, -1.26324, 0.4799102]"
"[-2.5027049999999997, -1.1659799999999996, 0.6363873999999999]"
"[-2.7543599999999993, -1.0062, 0.7821682]"
"[-2.9741400000000002, -0.7855349999999999, 0.9103555999999999]"
"[-3.2464799999999996, -0.44359500000000013, 1.1099572]"
"[-2.2749899999999994, -1.6344900000000002, 0.6733408]"
"[-2.6149349999999996, -1.58235, 0.8978683999999999]"
"[-2.9556449999999996, -1.4513399999999999, 1.133044]"
"[-3.2736599999999996, -1.2368700000000001, 1.3574264]"
"[-3.5349149999999994, -0.9377549999999999, 1.5533253999999996]"
"[-3.7272, -0.5621849999999999, 1.6968798]"
"[-2.4596249999999995, -1.989975, 1.0038643999999999]"
"[-2.8603949999999996, -1.9491749999999999, 1.3193114]"
"[-3.2684399999999996, -1.808745, 1.6555946]"
"[-3.6454500000000003, -1.5560249999999998, 1.9773819999999998]"
"[-3.9688649999999996, -1.185525, 2.2643213999999996]"
"[-4.201004999999999, -0.7138499999999999, 2.4707474]"
"[-2.59185, -2.402625, 1.4022931999999997]"
"[-3.0463349999999996, -2.3825099999999995, 1.8383288]"
"[-3.5149800000000004, -2.23413, 2.3020008]"
"[-3.961604999999999, -1.9374599999999997, 2.7611232]"
"[-4.339635, -1.48893, 3.1628431999999997]"
"[-4.61547, -0.8996400000000001, 3.4599708000000002]"
"[-2.6319449999999995, -2.8574849999999996, 1.8676107999999996]"
"[-3.1292549999999997, -2.8650599999999997, 2.4490158]"
"[-3.6506700000000003, -2.7170549999999998, 3.0807084000000002]"
"[-4.14903, -2.3786099999999997, 3.7045359999999996]"
"[-4.579619999999999, -1.838745, 4.264354599999999]"
"[-4.892925000000001, -1.11966, 4.676359599999999]"
"[-2.5335149999999995, -3.316095, 2.381038]"
"[-3.0443999999999996, -3.3568799999999994, 3.1254784000000004]"
"[-3.5827949999999995, -3.2120399999999996, 3.9455195999999995]"
"[-4.1024400000000005, -2.8329899999999997, 4.7684163999999996]"
"[-4.556925, -2.203035, 5.507677999999999]"
"[-4.886939999999999, -1.3482449999999997, 6.0582764000000005]"
