"Sensor 16 Average (x, y, z)"
"[0.7233, -2.3797500000000005, 0.37986739999999997]"
"[0.922695, -2.7531, 0.6924346]"
"[1.1757749999999998, -3.1540199999999996, 1.1230493999999998]"
"[1.4903099999999998, -3.55437, 1.6988157999999998]"
"[1.8795600000000001, -3.913695, 2.4405216000000003]"
"[2.536665, -4.12182, 3.5530682000000002]"
"[0.9347700000000001, -2.2511849999999995, 0.3497384]"
"[1.17657, -2.5671150000000003, 0.6345966000000001]"
"[1.482, -2.89038, 1.0164241999999999]"
"[1.8534149999999998, -3.199125, 1.5111932]"
"[2.2955550000000007, -3.44604, 2.1379732]"
"[2.803515, -3.575085, 2.8900366]"
"[1.0194899999999998, -2.01513, 0.2503248]"
"[1.26921, -2.2777499999999997, 0.47821620000000004]"
"[1.5786300000000002, -2.5372049999999997, 0.7867178]"
"[1.9501499999999996, -2.7738450000000006, 1.1818795999999998]"
"[2.3878950000000003, -2.952105, 1.6758983999999997]"
"[2.8803450000000006, -3.031005, 2.251205]"
"[1.0608149999999998, -1.7836349999999996, 0.1526778]"
"[1.3059449999999997, -1.9918049999999998, 0.3334276]"
"[1.6038299999999996, -2.1931950000000002, 0.5754759999999999]"
"[1.9566599999999998, -2.36922, 0.8781453999999999]"
"[2.36484, -2.4898200000000004, 1.2519143999999998]"
"[2.816115, -2.52468, 1.6836182]"
"[1.064115, -1.55772, 0.0639606]"
"[1.2967199999999999, -1.7190750000000001, 0.20190059999999999]"
"[1.573695, -1.8718350000000001, 0.38482839999999996]"
"[1.8957300000000001, -1.9972349999999999, 0.6143896000000001]"
"[2.25774, -2.07348, 0.8858894]"
"[2.65803, -2.0768850000000003, 1.2008281999999997]"
"[1.035585, -1.342785, -0.007477799999999993]"
"[1.24902, -1.465155, 0.095832]"
"[1.4933699999999999, -1.575495, 0.23628880000000002]"
"[1.7785499999999999, -1.66023, 0.4008246]"
"[2.0917800000000004, -1.7017800000000003, 0.5994824000000001]"
"[2.428005, -1.6844550000000003, 0.8226548]"
