"Sensor 1 Average (x, y, z)"
"[-0.09962999999999997, 0.07124999999999998, 0.18875999999999998]"
"[-0.09813, 0.07148999999999998, 0.18798559999999997]"
"[-0.09842999999999999, 0.0705, 0.19243839999999998]"
"[-0.09720000000000001, 0.0696, 0.1900184]"
"[-0.09728999999999999, 0.06945, 0.18895360000000003]"
"[-0.09525, 0.06993, 0.18997]"
"[-0.08568, 0.06386999999999998, 0.1822744]"
"[-0.08207999999999999, 0.06284999999999999, 0.1762244]"
"[-0.08355000000000001, 0.06171, 0.1782088]"
"[-0.08324999999999999, 0.06137999999999999, 0.1760308]"
