"Sensor 11 Average (x, y, z)"
"[-0.03252, -0.014820000000000002, 0.30477479999999996]"
"[-0.03336, -0.016470000000000002, 0.3064204]"
"[-0.03207, -0.015509999999999998, 0.30264519999999995]"
"[-0.034199999999999994, -0.01695, 0.30351639999999996]"
"[-0.032429999999999994, -0.01605, 0.30191919999999994]"
"[-0.030389999999999997, -0.016319999999999998, 0.30158039999999997]"
"[-0.027569999999999997, -0.016590000000000004, 0.2822204]"
"[-0.0276, -0.015119999999999996, 0.276122]"
"[-0.024929999999999997, -0.015000000000000001, 0.2784452]"
"[-0.027540000000000002, -0.014849999999999997, 0.27791279999999996]"
